ACO_ID,ACO First Agreement Start Date,ACO_NUM
A2262,1/1/2014,A87886
A2266,1/1/2014,A03202
A2270,1/1/2014,A38185
A2272,1/1/2014,A39529
A2278,1/1/2014,A79168
A2284,1/1/2014,A02128
A2286,1/1/2014,A49262
A2287,1/1/2014,A36517
A2296,1/1/2014,A46995
A2299,1/1/2014,A39975
A2302,1/1/2014,A23908
A2308,1/1/2014,A72235
A2309,1/1/2014,A07620
A2311,1/1/2014,A06665
A2313,1/1/2014,A68137
A2321,1/1/2014,A74254
A2336,1/1/2014,A82420
A2337,1/1/2014,A60743
A2342,1/1/2014,A17898
A2345,1/1/2014,A86442
A2355,1/1/2014,A92615
A2361,1/1/2014,A70064
A2366,1/1/2014,A02854
A2369,1/1/2014,A08611
A2384,1/1/2014,A09282
A2391,1/1/2014,A23786
A2392,1/1/2014,A38301
A2411,1/1/2014,A71307
A2419,1/1/2014,A23727
A2424,1/1/2014,A43717
A2437,1/1/2014,A18812
A2438,1/1/2014,A91435
A2448,1/1/2014,A08181
A2452,1/1/2014,A24804
A2459,1/1/2014,A67365
A2465,1/1/2014,A46666
A2490,1/1/2015,A49168
A2492,1/1/2015,A91307
A2499,1/1/2015,A95248
A2500,1/1/2015,A11353
A2504,1/1/2015,A05950
A2505,1/1/2015,A25744
A2506,1/1/2015,A74448
A2507,1/1/2015,A73551
A2517,1/1/2015,A75637
A2522,1/1/2015,A17964
A2528,1/1/2015,A49534
A2530,1/1/2015,A72677
A2532,1/1/2015,A73256
A2536,1/1/2015,A99784
A2538,1/1/2015,A83232
A2540,1/1/2015,A07732
A2542,1/1/2015,A65633
A2543,1/1/2015,A74976
A2550,1/1/2015,A88553
A2551,1/1/2015,A60323
A2552,1/1/2015,A59161
A2557,1/1/2015,A34814
A2558,1/1/2015,A07334
A2559,1/1/2015,A29195
A2564,1/1/2015,A60023
A2569,1/1/2015,A81088
A2570,1/1/2015,A23513
A2571,1/1/2015,A86004
A2575,1/1/2015,A95812
A2576,1/1/2015,A92234
A2580,1/1/2015,A60552
A2581,1/1/2015,A59192
A2584,1/1/2015,A83956
A2586,1/1/2015,A74449
A2587,1/1/2015,A51793
A2591,1/1/2015,A39107
A2592,1/1/2015,A25701
A2596,1/1/2015,A24605
A2597,1/1/2015,A14417
A2598,1/1/2015,A71487
A2599,1/1/2015,A34708
A2600,1/1/2015,A75625
A2601,1/1/2015,A17606
A2602,1/1/2015,A47392
A2612,1/1/2015,A23437
A2616,1/1/2015,A81076
A2617,1/1/2015,A87355
A2619,1/1/2015,A85343
A2620,1/1/2015,A96888
A2622,1/1/2015,A33146
A2623,1/1/2015,A65906
A2624,1/1/2015,A37598
A2627,1/1/2015,A35510
A2628,1/1/2015,A60506
A2631,1/1/2015,A63260
A2634,1/1/2015,A86344
A2636,1/1/2015,A24144
A2638,1/1/2015,A32730
A2643,1/1/2015,A87299
A2644,1/1/2015,A66096
A2645,1/1/2015,A07433
A2646,1/1/2015,A55003
A2654,1/1/2015,A57266
A2655,1/1/2015,A03716
A2656,1/1/2015,A47655
A2660,1/1/2015,A76834
A2662,1/1/2015,A02219
A2665,1/1/2015,A94900
A2666,1/1/2015,A79410
A2668,1/1/2015,A48017
A2671,1/1/2015,A98243
A2675,1/1/2015,A50281
A2676,1/1/2015,A71749
A2680,1/1/2015,A47336
A2683,1/1/2015,A07769
A2684,1/1/2015,A69405
A2687,1/1/2015,A05496
A2690,1/1/2015,A80674
A2695,1/1/2015,A42910
A2704,1/1/2015,A15196
A2705,1/1/2015,A93114
A2706,1/1/2015,A79694
A2710,1/1/2015,A44499
A2713,1/1/2015,A48401
A2714,1/1/2015,A93261
A2729,1/1/2015,A25097
A2733,1/1/2015,A47101
A2735,1/1/2015,A29177
A2740,1/1/2015,A23015
A2753,1/1/2016,A54062
A2754,1/1/2016,A20488
A2759,1/1/2016,A71640
A2762,1/1/2016,A95141
A2763,1/1/2016,A66885
A2765,1/1/2016,A99459
A2767,1/1/2016,A70007
A2772,1/1/2016,A69673
A2773,1/1/2016,A72971
A2778,1/1/2016,A20168
A2782,1/1/2016,A96978
A2783,1/1/2016,A12439
A2801,1/1/2016,A54464
A2802,1/1/2016,A61540
A2806,1/1/2016,A53342
A2809,1/1/2016,A84924
A2811,1/1/2016,A24077
A2814,1/1/2016,A91712
A2820,1/1/2016,A33500
A2824,1/1/2016,A71684
A2827,1/1/2016,A50347
A2830,1/1/2016,A78429
A2831,1/1/2016,A65119
A2832,1/1/2016,A09392
A2833,1/1/2016,A03133
A2840,1/1/2016,A64090
A2841,1/1/2016,A99911
A2844,1/1/2016,A90925
A2847,1/1/2016,A54198
A2852,1/1/2016,A58031
A2856,1/1/2016,A59816
A2858,1/1/2016,A38977
A2860,1/1/2016,A61487
A2861,1/1/2016,A84870
A2862,1/1/2016,A97980
A2864,1/1/2016,A43071
A2866,1/1/2016,A75055
A2867,1/1/2016,A45565
A2869,1/1/2016,A17748
A2871,1/1/2016,A69337
A2872,1/1/2016,A41540
A2876,1/1/2016,A55037
A2879,1/1/2016,A85619
A2880,1/1/2016,A80689
A2882,1/1/2016,A33509
